reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ff825701-1103-4198-bcd8-89c34bb2a9da,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,diskon ya gede,5,0,,2026-03-03 01:42:30,,,
2e3eb20a-95eb-4dad-9018-61fe20139fcd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,setiap mau pesen tulisannya terlalu banyak peminat,1,0,2.24.0.1,2026-03-02 14:38:22,,,2.24.0.1
b9957749-2b9f-42b8-a753-3b9b8c400828,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"promonya besar-besaran, customers servicenya bener-bener membantu dan melayani dengan baik ketika ada kendala. sukses terus yaa qpon.",5,0,2.24.0.1,2026-03-02 11:18:14,,,2.24.0.1
219c8ed9-702d-4e24-b7d7-e39b223c898e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"br mau login, malah gbisa nih.. ket nya akun terdeteksi tdk normal",3,0,2.24.0.1,2026-03-02 08:07:01,,,2.24.0.1
2faabc91-3481-4ca5-8c1e-fab3e19f8cc4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apk fomo doang bisa sekarang susah banyak promo tapi gak bisa di pake buang buang duit doang.,1,0,2.24.0.1,2026-03-02 05:53:45,,,2.24.0.1
4ada12be-39f6-4702-a145-6ebd2dc865b1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Harga terjangkau Dengan rasa dan kualitas sungguh memukau.. i like momoyo. Coba dulu baru komen.. dah Di jamin manyosss Dan ketagihan,5,0,2.24.0.1,2026-03-02 05:02:22,,,2.24.0.1
ae21e119-592a-455f-9df6-08b604b9dd18,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kok pas mau pesen sering logout sendiri yg akun Baru,1,0,2.24.0.1,2026-03-01 08:54:47,,,2.24.0.1
5f74307c-d099-434a-b58b-ff6ca10c9eab,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Qpon ngebantu banget buat jajan, 1 waktu aku punya voucher yg lupa beli di pakai, dan ternyata sudah lewat masa expired nya, panik dong, chat cs qpon, Alhamdulillah bisa di bantu refund, makasih qpon 💚🙏",5,0,2.23.0.0,2026-03-01 05:33:12,,,2.23.0.0
b6159aba-645a-43b3-9ad4-59eeb5fdac38,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"GOKIL LAH, QPON, DANA REFUND SELALU DI BANTU. UDH 3X REFUND DANA SELALU LANCAR. SUKSES TERUS QPON. YANG MEMBANTU DISKON SETIAP MERCHANT F&B 🥰🥰🥰✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻 NO CLICK BAIT!!! INI REVIEW JUJUR OGUT !!!",5,0,2.24.0.1,2026-03-01 04:35:17,,,2.24.0.1
da6efbae-f7c9-4936-a311-992e7dc058e5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,duit gua kgk blik anjir salah beli juga minta tanggung jawab malah gk jelas balesan nya,2,0,,2026-03-01 02:52:28,,,
ada16aca-fbd3-46d1-b7cf-0c3749cb590b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"stelah log out gak bisa log in lagi, Ket aktivitas mencurigakan, gak ada solusi",1,0,2.12.2,2026-02-28 18:29:28,,,2.12.2
7ecfe44b-3618-4dfa-be26-2094e1c80467,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,terima kasih atas konpirmasnya dan aku bersyukur Alhamdulillah mudah2an fositip panjang umur dan hidup bahagia selamanya Anogerah berlimpah limpah limpah terwujud kepadaku skrg jugak Aaminnn yerobebb FOLLOW 🤲🤲🤲🤲👍👍👍❤️❤️❤️❤️👍😭🥰🥰 Aaminnn Kun payekun,5,0,,2026-02-28 14:12:22,,,
3b451af5-cf99-41a1-bec3-4e4db1db723b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Puas dgn pelayanannya terimakasih,5,0,2.24.0.1,2026-02-28 10:39:12,,,2.24.0.1
256d090f-b894-4431-b359-4583f13a476f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semenjak ganti HP kok aku ga bisa log in ke apk ini y... udh masukin no tlp tetap aja gagal,1,0,2.24.0.1,2026-02-28 06:09:03,,,2.24.0.1
65ca2bfa-3ba3-4697-9a86-9260c827962c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bikin hemat,5,0,2.24.0.1,2026-02-27 16:00:58,,,2.24.0.1
4338b06b-0f92-49b3-8730-6d65395e5962,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saeee,4,0,2.23.0.0,2026-02-27 15:33:24,,,2.23.0.0
